circular	auto	sex	NCBI	UCSC	Ensembl
FALSE	TRUE	FALSE	NW_020822366.1	picr_100	picr_100
FALSE	TRUE	FALSE	NW_020822367.1	picr_1007	picr_1007
FALSE	TRUE	FALSE	NW_020822368.1	picr_1079	picr_1079
FALSE	TRUE	FALSE	NW_020822369.1	picr_1095	picr_1095
FALSE	TRUE	FALSE	NW_020822370.1	picr_10_new	picr_10_new
FALSE	TRUE	FALSE	NW_020822371.1	picr_1101	picr_1101
FALSE	TRUE	FALSE	NW_020822372.1	picr_111	picr_111
FALSE	TRUE	FALSE	NW_020822373.1	picr_115	picr_115
FALSE	TRUE	FALSE	NW_020822374.1	picr_116	picr_116
FALSE	TRUE	FALSE	NW_020822375.1	picr_12	picr_12
FALSE	TRUE	FALSE	NW_020822376.1	picr_122	picr_122
FALSE	TRUE	FALSE	NW_020822377.1	picr_123	picr_123
FALSE	TRUE	FALSE	NW_020822378.1	picr_1234	picr_1234
FALSE	TRUE	FALSE	NW_020822379.1	picr_124	picr_124
FALSE	TRUE	FALSE	NW_020822380.1	picr_1312	picr_1312
FALSE	TRUE	FALSE	NW_020822381.1	picr_132	picr_132
FALSE	TRUE	FALSE	NW_020822382.1	picr_135	picr_135
FALSE	TRUE	FALSE	NW_020822383.1	picr_1409	picr_1409
FALSE	TRUE	FALSE	NW_020822384.1	picr_1434	picr_1434
FALSE	TRUE	FALSE	NW_020822385.1	picr_145	picr_145
FALSE	TRUE	FALSE	NW_020822386.1	picr_1502	picr_1502
FALSE	TRUE	FALSE	NW_020822387.1	picr_1509	picr_1509
FALSE	TRUE	FALSE	NW_020822388.1	picr_154	picr_154
FALSE	TRUE	FALSE	NW_020822389.1	picr_1555	picr_1555
FALSE	TRUE	FALSE	NW_020822390.1	picr_159	picr_159
FALSE	TRUE	FALSE	NW_020822391.1	picr_160	picr_160
FALSE	TRUE	FALSE	NW_020822392.1	picr_1602	picr_1602
FALSE	TRUE	FALSE	NW_020822393.1	picr_161	picr_161
FALSE	TRUE	FALSE	NW_020822394.1	picr_162	picr_162
FALSE	TRUE	FALSE	NW_020822395.1	picr_165	picr_165
FALSE	TRUE	FALSE	NW_020822396.1	picr_168	picr_168
FALSE	TRUE	FALSE	NW_020822397.1	picr_1692	picr_1692
FALSE	TRUE	FALSE	NW_020822399.1	picr_182	picr_182
FALSE	TRUE	FALSE	NW_020822400.1	picr_1827	picr_1827
FALSE	TRUE	FALSE	NW_020822401.1	picr_1828	picr_1828
FALSE	TRUE	FALSE	NW_020822402.1	picr_193	picr_193
FALSE	TRUE	FALSE	NW_020822403.1	picr_21	picr_21
FALSE	TRUE	FALSE	NW_020822404.1	picr_211	picr_211
FALSE	TRUE	FALSE	NW_020822405.1	picr_220	picr_220
FALSE	TRUE	FALSE	NW_020822407.1	picr_28	picr_28
FALSE	TRUE	FALSE	NW_020822408.1	picr_295	picr_295
FALSE	TRUE	FALSE	NW_020822409.1	picr_31	picr_31
FALSE	TRUE	FALSE	NW_020822410.1	picr_33	picr_33
FALSE	TRUE	FALSE	NW_020822411.1	picr_330	picr_330
FALSE	TRUE	FALSE	NW_020822412.1	picr_37_new	picr_37_new
FALSE	TRUE	FALSE	NW_020822413.1	picr_389	picr_389
FALSE	TRUE	FALSE	NW_020822414.1	picr_390	picr_390
FALSE	TRUE	FALSE	NW_020822415.1	picr_4	picr_4
FALSE	TRUE	FALSE	NW_020822416.1	picr_400	picr_400
FALSE	TRUE	FALSE	NW_020822417.1	picr_434	picr_434
FALSE	TRUE	FALSE	NW_020822418.1	picr_496	picr_496
FALSE	TRUE	FALSE	NW_020822419.1	picr_60	picr_60
FALSE	TRUE	FALSE	NW_020822420.1	picr_61	picr_61
FALSE	TRUE	FALSE	NW_020822421.1	picr_64	picr_64
FALSE	TRUE	FALSE	NW_020822422.1	picr_643	picr_643
FALSE	TRUE	FALSE	NW_020822423.1	picr_70_new	picr_70_new
FALSE	TRUE	FALSE	NW_020822424.1	picr_740	picr_740
FALSE	TRUE	FALSE	NW_020822425.1	picr_7b_new	picr_7b_new
FALSE	TRUE	FALSE	NW_020822426.1	picr_80	picr_80
FALSE	TRUE	FALSE	NW_020822427.1	picr_81	picr_81
FALSE	TRUE	FALSE	NW_020822428.1	picr_84	picr_84
FALSE	TRUE	FALSE	NW_020822429.1	picr_85	picr_85
FALSE	TRUE	FALSE	NW_020822430.1	picr_862	picr_862
FALSE	TRUE	FALSE	NW_020822431.1	picr_895	picr_895
FALSE	TRUE	FALSE	NW_020822432.1	picr_90	picr_90
FALSE	TRUE	FALSE	NW_020822433.1	picr_921	picr_921
FALSE	TRUE	FALSE	NW_020822434.1	picr_94	picr_94
FALSE	TRUE	FALSE	NW_020822435.1	picr_95	picr_95
FALSE	TRUE	FALSE	NW_020822436.1	picr_96	picr_96
FALSE	TRUE	FALSE	NW_020822437.1	picr_984	picr_984
FALSE	TRUE	FALSE	NW_020822438.1	picr_9_new	picr_9_new
FALSE	TRUE	FALSE	NW_020822398.1	picr_18	picr_18
FALSE	TRUE	FALSE	NW_020822406.1	picr_23_new	picr_23_new
FALSE	TRUE	FALSE	NW_020822439.1	picr_0	picr_0
FALSE	TRUE	FALSE	NW_020822440.1	picr_102	picr_102
FALSE	TRUE	FALSE	NW_020822441.1	picr_1044	picr_1044
FALSE	TRUE	FALSE	NW_020822442.1	picr_105	picr_105
FALSE	TRUE	FALSE	NW_020822443.1	picr_106_new	picr_106_new
FALSE	TRUE	FALSE	NW_020822444.1	picr_112	picr_112
FALSE	TRUE	FALSE	NW_020822445.1	picr_1207	picr_1207
FALSE	TRUE	FALSE	NW_020822446.1	picr_127	picr_127
FALSE	TRUE	FALSE	NW_020822447.1	picr_1347	picr_1347
FALSE	TRUE	FALSE	NW_020822448.1	picr_1545	picr_1545
FALSE	TRUE	FALSE	NW_020822449.1	picr_169	picr_169
FALSE	TRUE	FALSE	NW_020822450.1	picr_17	picr_17
FALSE	TRUE	FALSE	NW_020822451.1	picr_170	picr_170
FALSE	TRUE	FALSE	NW_020822452.1	picr_22	picr_22
FALSE	TRUE	FALSE	NW_020822453.1	picr_276	picr_276
FALSE	TRUE	FALSE	NW_020822454.1	picr_30_new	picr_30_new
FALSE	TRUE	FALSE	NW_020822455.1	picr_32	picr_32
FALSE	TRUE	FALSE	NW_020822456.1	picr_397	picr_397
